com.samsung.shealth.stress,6212007,7
start_time,custom,binning_data,tag_id,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
2022-04-16 20:00:00.000,,6d0a201d-3043-4ac3-8e6e-790693eff6f5.binning_data.json,10011,2022-04-16 21:07:30.960,2022-04-16 21:07:30.960,92.0,1.0,37.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-16 20:59:59.999,6d0a201d-3043-4ac3-8e6e-790693eff6f5,
2022-04-17 03:00:00.000,,445b196f-5166-46ce-85ef-5d375d08d676.binning_data.json,10011,2022-04-17 05:40:25.962,2022-04-17 05:40:25.962,70.0,0.0,29.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-17 03:59:59.999,445b196f-5166-46ce-85ef-5d375d08d676,
2022-04-16 22:00:00.000,,e8a6d9a5-f543-4d97-ad1a-0c2f70d8dd11.binning_data.json,10011,2022-04-16 23:01:35.053,2022-04-16 23:01:35.053,97.0,3.0,35.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-16 22:59:59.999,e8a6d9a5-f543-4d97-ad1a-0c2f70d8dd11,
2022-04-16 19:00:00.000,,b8f69816-6533-4355-ad64-7ee62c589df3.binning_data.json,10011,2022-04-16 20:02:00.676,2022-04-16 20:02:00.676,72.0,0.0,18.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-16 19:59:59.999,b8f69816-6533-4355-ad64-7ee62c589df3,
2022-04-17 08:00:00.000,,3230584b-7a1a-48ae-a46f-762569c0392d.binning_data.json,10011,2022-04-17 09:06:16.236,2022-04-17 09:06:16.236,6.0,0.0,0.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-17 08:59:59.999,3230584b-7a1a-48ae-a46f-762569c0392d,
2022-04-17 02:00:00.000,,f5f1bf76-8bf2-415f-ada3-7cf7f12d99c0.binning_data.json,10011,2022-04-17 03:21:50.597,2022-04-17 03:21:50.597,96.0,0.0,35.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-17 02:59:59.999,f5f1bf76-8bf2-415f-ada3-7cf7f12d99c0,
2022-04-17 09:00:00.000,,47eb7eb8-a236-44e3-9906-bd511621722b.binning_data.json,10011,2022-04-17 18:37:47.026,2022-04-17 18:37:47.026,0.0,0.0,0.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-17 09:59:59.999,47eb7eb8-a236-44e3-9906-bd511621722b,
2022-04-17 19:00:00.000,,c57261c4-b49c-440b-8034-5429126b220b.binning_data.json,10011,2022-04-17 20:38:13.127,2022-04-17 19:52:20.465,69.0,1.0,19.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-17 19:59:59.999,c57261c4-b49c-440b-8034-5429126b220b,
2022-04-17 05:00:00.000,,daaba955-76e1-40df-9140-d82132ebfe7d.binning_data.json,10011,2022-04-17 08:32:37.202,2022-04-17 08:32:37.202,10.0,0.0,0.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-17 05:59:59.999,daaba955-76e1-40df-9140-d82132ebfe7d,
2022-04-17 21:00:00.000,,915d53e7-1199-4dc0-8c9e-a6fa33788bae.binning_data.json,10011,2022-04-17 22:04:31.364,2022-04-17 22:04:31.364,5.0,0.0,1.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-17 21:59:59.999,915d53e7-1199-4dc0-8c9e-a6fa33788bae,
2022-04-17 18:00:00.000,,57f22b88-06fd-4745-b080-de8aba488e69.binning_data.json,10011,2022-04-17 19:01:09.604,2022-04-17 19:01:09.604,82.0,0.0,23.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-17 18:59:59.999,57f22b88-06fd-4745-b080-de8aba488e69,
2022-04-17 01:00:00.000,,d029f5b2-59b0-4b75-90aa-7b2531adc2b8.binning_data.json,10011,2022-04-17 02:02:15.186,2022-04-17 02:02:15.186,66.0,1.0,10.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-17 01:59:59.999,d029f5b2-59b0-4b75-90aa-7b2531adc2b8,
2022-04-17 22:00:00.000,,c317eca8-ffd6-4a1c-8b67-e1d806b36d58.binning_data.json,10011,2022-04-17 23:06:18.459,2022-04-17 22:34:14.077,45.0,0.0,4.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-17 22:59:59.999,c317eca8-ffd6-4a1c-8b67-e1d806b36d58,
2022-04-17 20:00:00.000,,484e2320-4d2a-452f-ba8c-eb69e61c28ab.binning_data.json,10011,2022-04-17 21:10:00.220,2022-04-17 20:46:22.439,7.0,0.0,1.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-17 20:59:59.999,484e2320-4d2a-452f-ba8c-eb69e61c28ab,
2022-04-17 14:00:00.000,,d3da5ad4-7d19-4498-bc66-c3e1e68616e7.binning_data.json,10011,2022-04-17 18:38:18.507,2022-04-17 18:38:18.507,0.0,0.0,0.0,,UTC-0400,2ZwajQKcly,,com.sec.android.app.shealth,2022-04-17 14:59:59.999,d3da5ad4-7d19-4498-bc66-c3e1e68616e7,
